date,account,entry_type,region,value
2026-06-11,Cerius,pokemon,hoenn,130.0
2026-06-11,Cerius,pokemon,sinnoh,97.0
2026-06-11,Cerius,pokemon,unova,150.0
2026-06-11,Cerius,pokemon,kalos,71.0
2026-06-11,Cerius,pokemon,alola,66.0
2026-06-11,Cerius,pokemon,galar,60.0
2026-06-11,Cerius,pokemon,hisui,6.0
2026-06-11,Cerius,pokemon,paldea,61.0
2026-06-11,Cerius,pokemon,unidentified,2.0
2026-06-11,Cerius,shiny,kanto,38.0
2026-06-11,Cerius,shiny,johto,15.0
2026-06-11,Cerius,shiny,hoenn,21.0
2026-06-11,Cerius,shiny,sinnoh,14.0
2026-06-11,Cerius,shiny,unova,16.0
2026-06-11,Cerius,shiny,kalos,8.0
2026-06-11,Cerius,shiny,alola,3.0
2026-06-11,Cerius,shiny,galar,8.0
2026-06-11,Cerius,shiny,hisui,0.0
2026-06-11,Cerius,shiny,paldea,13.0
2026-06-11,Cerius,shiny,unidentified,2.0
2026-06-11,Cerius,lucky,kanto,20.0
2026-06-11,Cerius,lucky,johto,12.0
2026-06-11,Cerius,lucky,hoenn,15.0
2026-06-11,Cerius,lucky,sinnoh,12.0
2026-06-11,Cerius,lucky,unova,19.0
2026-06-11,Cerius,lucky,kalos,6.0
2026-06-11,Cerius,lucky,alola,6.0
2026-06-11,Cerius,lucky,galar,13.0
2026-06-11,Cerius,lucky,paldea,7.0
2026-06-11,Cerius,xxl,kanto,38.0
2026-06-11,Cerius,xxl,johto,8.0
2026-06-11,Cerius,xxl,hoenn,23.0
2026-06-11,Cerius,xxl,sinnoh,10.0
2026-06-11,Cerius,xxl,unova,25.0
2026-06-11,Cerius,xxl,kalos,11.0
2026-06-11,Cerius,xxl,alola,7.0
2026-06-11,Cerius,xxl,galar,4.0
2026-06-11,Cerius,xxl,paldea,5.0
2026-06-11,Cerius,xxl,unidentified,1.0
2026-06-11,Cerius,xxs,kanto,92.0
2026-06-11,Cerius,xxs,johto,25.0
2026-06-11,Cerius,xxs,hoenn,37.0
2026-06-11,Cerius,xxs,sinnoh,26.0
2026-06-11,Cerius,xxs,unova,24.0
2026-06-11,Cerius,xxs,kalos,6.0
2026-06-11,Cerius,xxs,alola,3.0
2026-06-11,Cerius,xxs,galar,10.0
2026-06-11,Cerius,xxs,paldea,5.0
2026-06-11,Cerius,xxs,unidentified,1.0
2026-06-11,Cerius,gmax,kanto,8.0
2026-06-11,Cerius,gmax,unova,0.0
2026-06-11,Cerius,gmax,galar,1.0
2026-06-11,Cerius,mega,kanto,11.0
2026-06-11,Cerius,mega,johto,6.0
2026-06-11,Cerius,mega,hoenn,15.0
2026-06-11,Cerius,mega,sinnoh,3.0
2026-06-11,Cerius,mega,kalos,2.0
2026-06-11,Cerius,mega,galar,1.0
2026-06-11,Cerius,shadow,kanto,50.0
2026-06-11,Cerius,shadow,johto,24.0
2026-06-11,Cerius,shadow,hoenn,23.0
2026-06-11,Cerius,shadow,sinnoh,11.0
2026-06-11,Cerius,shadow,unova,14.0
2026-06-11,Cerius,shadow,kalos,4.0
2026-06-11,Cerius,shadow,alola,2.0
2026-06-11,Cerius,purified,kanto,28.0
2026-06-11,Cerius,purified,johto,13.0
2026-06-11,Cerius,purified,hoenn,5.0
2026-06-11,Cerius,purified,sinnoh,2.0
2026-06-11,Cerius,purified,unova,1.0
2026-06-11,Cerius,purified,kalos,0.0
